en,xh,ny,lg,ln,zu
one,enye ,yomwe ,omu,moko,eyodwa
 two, ezimbini , awiri , babiri, mibale, ezimbili
 three, ezintathu, atatu , ssatu, misato, ezintathu
 four, ezine , anayi , bana, minei, ezine
 five, ezintlanu , zisanu , ttaano, mitano, amahlanu 
 six, ezintandathu, zisanu , mukaaga, motoba, ayisithupha
 seven, isixhenxe, seveni , musanvu, nsambo, eziyisikhombisa
 eight, isibhozo, eyiti , munaana, mwambe, isishiyagalombili
 nine, isithoba, zisanu , mwenda, libwa, ayisishiyagalolunye
 ten, ishumi , khumi , kkumi, zomi, eziyishumi
 eleven, ishumi elinanye, khumi ndi chimodzi, kkumi n'emu, zomi na moko, ishumi nanye
 twelve, ishumi elinambini, khumi , kkumi na babiri, zomi na mibale, ishumi nambili
 thirteen, ishumi elinesithathu, khumi ndi atatu, kkumi na ssatu, zomi na misato, ishumi nantathu
 fourteen, ishumi elinesine, khumi ndi anayi , kkumi na nnya, zomi na minei, eziyishumi nane
 fifteen, ishumi elinesihlanu, khumi ndi zisanu, kkumi na bataano, zomi na mitano, eziyishumi nanhlanu
 sixteen, ishumi elinesithandathu, khumi ndi zisanu , kkumi na mukaaga, zomi na motoba, eziyishumi nesithupha
 seventeen, ishumi elinesixhenxe, khumi ndi zisanu , kkumi na musanvu, zomi na nsambo, ishumi nesikhombisa
 eighteen, ishumi elinesibhozo, khumi ndi zisanu , kkumi na munaana, zomi na mwambe, eziyishumi nesishiyagalombili
 nineteen, ishumi elinesithoba, khumi nayini, kkumi na mwenda, zomi na libwa, ishumi nesishiyagalolunye
 twenty, amashumi amabini, makumi awiri , amakumi abiri, ntuku mibale, amashumi amabili
 twenty-one, amashumi amabini ananye, makumi awiri ndi chimodzi, amakumi abiri mu gumu, ntuku mibale na moko, amashumi amabili nanye
 twenty-two, amashumi amabini anesibini, makumi awiri , abiri mu bibiri, ntuku mibale na mibale, amashumi amabili nambili
 twenty-three, amashumi amabini anesithathu, makumi awiri ndi atatu, abiri mu ssatu, ntuku mibale na misato, amashumi amabili nantathu
 twenty-four, amashumi amabini anesine, makumi awiri ndi anayi, abiri mu bina, ntuku mibale na minei, amashumi amabili nane
 twenty-five, amashumi amabini anesihlanu, makumi awiri ndi zisanu, abiri mu ttaano, ntuku mibale na mitano, amashumi amabili nanhlanu
 twenty-six, amashumi amabini anesithandathu, makumi awiri ndi zisanu , abiri mu mukaaga, ntuku mibale na motoba, amashumi amabili nesithupha
 twenty-seven, amashumi amabini anesixhenxe, makumi awiri mphambu zisanu ndi ziwiri , abiri mu musanvu, ntuku mibale na sambo, amashumi amabili nesikhombisa
 twenty-eight, amashumi amabini anesibhozo, makumi awiri mphambu zisanu ndi zitatu , abiri mu munaana, ntuku mibale na mwambe, amashumi amabili nesishiyagalombili
 twenty-nine, amashumi amabini anesithoba, makumi awiri mphambu zisanu ndi zinayi, abiri mu mwenda, ntuku mibale na libwa, amashumi amabili nesishiyagalolunye
 thirty, amashumi amathathu, makumi atatu, amakumi asatu, ntuku misato, amashumi amathathu
 thirty-one, amashumi amathathu ananye, makumi atatu ndi chimodzi, amakumi asatu mu gumu, ntuku misato na moko, amashumi amathathu nanye
 thirty-two, amashumi amathathu anesibini, makumi atatu ndi ziwiri, amakumi asatu mu bbiri, ntuku misato na mibale, amashumi amathathu nambili
 thirty-three, amashumi amathathu anesithathu, makumi atatu ndi atatu, amakumi asatu mu ssatu, ntuku misato na misato, amashumi amathathu nantathu
 thirty-four, amashumi amathathu anesine, makumi atatu ndi anayi, amakumi asatu mu nnya, ntuku misato na minei, amashumi amathathu nane
 thirty-five, amashumi amathathu anesihlanu, makumi atatu ndi zisanu, amakumi asatu mu ttaano, ntuku misato na mitano, amashumi amathathu nanhlanu
 thirty-six, amashumi amathathu anesithandathu, makumi atatu ndi zisanu ndi chimodzi, amakumi asatu mu mukaaga, ntuku misato na motoba, amashumi amathathu nesithupha
 thirty-seven, amashumi amathathu anesixhenxe, makumi atatu ndi zisanu ndi ziwiri, amakumi asatu mu musanvu, ntuku misato na sambo, amashumi amathathu nesikhombisa
 thirty-eight, amashumi amathathu anesibhozo, makumi atatu ndi zisanu ndi zitatu, amakumi asatu mu munaana, ntuku misato na mwambe, amashumi amathathu nesishiyagalombili
 thirty-nine, amashumi amathathu anesithoba, makumi atatu mphambu zisanu ndi zinayi, amakumi asatu mu mwenda, ntuku misato na libwa, amashumi amathathu nesishiyagalolunye
 forty, amashumi amane, makumi anayi, amakumi ana, ntuku minei, amashumi amane
 forty-one, amashumi amane ananye, makumi anayi ndi chimodzi, amakumi ana mu gumu, ntuku minei na moko, amashumi amane nanye
 forty-two, amashumi amane anesibini, makumi anayi ndi awiri , amakumi ana mu bibiri, ntuku minei na mibale, amashumi amane nambili
 forty-three, amashumi amane anesithathu, makumi anayi ndi atatu, amakumi ana mu ssatu, ntuku minei na misato, amashumi amane nantathu
 forty-four, amashumi amane anesine, makumi anayi ndi anayi , amakumi ana mu nnya, ntuku minei na minei, amashumi amane nane
 forty-five, amashumi amane anesihlanu, makumi anayi ndi asanu, amakumi ana mu ttaano, ntuku minei na mitano, amashumi amane nanhlanu
 forty-six, amashumi amane anesithandathu, makumi anayi ndi zisanu ndi chimodzi, amakumi ana mu mukaaga, ntuku minei na motoba, amashumi amane nesithupha
 forty-seven, amashumi amane anesixhenxe, makumi anayi ndi zisanu ndi ziwiri , amakumi ana mu musanvu, ntuku minei na nsambo, amashumi amane nesikhombisa
 forty-eight, amashumi amane anesibhozo, makumi anayi mphambu zisanu ndi zitatu , amakumi ana mu munaana, ntuku minei na mwambe, amashumi amane nesishiyagalombili
 forty-nine, amashumi amane anesithoba, makumi anayi mphambu zisanu ndi zinayi, amakumi ana mu mwenda, ntuku minei na libwa, amashumi amane nesishiyagalolunye
 fifty, amashumi amahlanu, makumi asanu , amakumi ataano, ntuku mitano, amashumi amahlanu
 fifty-one, amashumi amahlanu ananye, makumi asanu ndi chimodzi, ataano mu gumu, ntuku mitano na moko, amashumi amahlanu nanye
 fifty-two, amashumi amahlanu anesibini, makumi asanu ndi awiri , ataano mu bibiri, ntuku mitano na mibale, amashumi amahlanu nambili
 fifty-three, amashumi amahlanu anesithathu, makumi asanu ndi atatu, ataano mu ssatu, ntuku mitano na misato, amashumi amahlanu nantathu
 fifty-four, amashumi amahlanu anesine, makumi asanu ndi anayi , ataano mu bina, ntuku mitano na minei, amashumi amahlanu nane
 fifty-five, amashumi amahlanu anesihlanu, makumi asanu ndi asanu , ataano mu ttaano, ntuku mitano na mitano, amashumi amahlanu nanhlanu
 fifty-six, amashumi amahlanu anesithandathu, makumi asanu ndi zisanu , ataano mu mukaaga, ntuku mitano na motoba, amashumi amahlanu nesithupha
 fifty-seven, amashumi amahlanu anesixhenxe, makumi asanu ndi awiri , ataano mu musanvu, ntuku mitano na sambo, amashumi amahlanu nesikhombisa
 fifty-eight, amashumi amahlanu anesibhozo, makumi asanu ndi atatu, ataano mu munaana, ntuku mitano na mwambe, amashumi amahlanu nesishiyagalombili
 fifty-nine, amashumi amahlanu anesithoba, makumi asanu ndi anayi, ataano mu mwenda, ntuku mitano na libwa, amashumi amahlanu nesishiyagalolunye
 sixty, amashumi amathandathu, makumi asanu , nkaaga, ntuku motoba, amashumi ayisithupha
 sixty-one, amashumi amathandathu ananye, makumi asanu ndi limodzi , nkaaga mu emu, ntuku motoba na moko, amashumi ayisithupha nanye
 sixty-two, amashumi amathandathu anesibini, makumi asanu ndi awiri , nkaaga mu bibiri, ntuku motoba na mibale, amashumi ayisithupha nambili
 sixty-three, amashumi amathandathu anesithathu, makumi asanu ndi atatu , nkaaga mu ssatu, ntuku motoba na misato, amashumi ayisithupha nantathu
 sixty-four, amashumi amathandathu anesine, makumi asanu ndi limodzi mphambu anayi , nkaaga mu nnya, ntuku motoba na minei, amashumi ayisithupha nane
 sixty-five, amashumi amathandathu anesihlanu, makumi asanu ndi limodzi mphambu zisanu, nkaaga mu ttaano, ntuku motoba na mitano, amashumi ayisithupha nanhlanu
 sixty-six, amashumi amathandathu anesithandathu, makumi asanu ndi limodzi mphambu zisanu , nkaaga mu mukaaga, ntuku motoba na motoba, amashumi ayisithupha nesithupha
 sixty-seven, amashumi amathandathu anesixhenxe, makumi asanu ndi limodzi mphambu zisanu , nkaaga mu musanvu, ntuku motoba na nsambo, amashumi ayisithupha nesikhombisa
 sixty-eight, amashumi amathandathu anesibhozo, makumi asanu ndi limodzi mphambu zisanu , nkaaga mu munaana, ntuku motoba na mwambe, amashumi ayisithupha nesishiyagalombili
 sixty-nine, amashumi amathandathu anesithoba, makumi asanu ndi limodzi mphambu zisanu ndi zinayi, nkaaga mu mwenda, ntuku motoba na libwa, amashumi ayisithupha nesishiyagalolunye
 seventy, amashumi asixhenxe, makumi asanu , nsanvu, ntuku nsambo, amashumi ayisikhombisa
 seventy-one, amashumi asixhenxe ananye, makumi asanu ndi awiri ndi chimodzi, nsanvu mu gumu, ntuku nsambo na moko, amashumi ayisikhombisa nanye
 seventy-two, amashumi asixhenxe anesibini, makumi asanu ndi awiri , nsanvu mu bibiri, ntuku nsambo na mibale, amashumi ayisikhombisa nambili
 seventy-three, amashumi asixhenxe anesithathu, makumi asanu ndi awiri mphambu zitatu, nsanvu mu ssatu, ntuku nsambo na misato, amashumi ayisikhombisa nantathu
 seventy-four, amashumi asixhenxe anesine, makumi asanu ndi awiri mphambu anayi, nsanvu mu nnya, ntuku nsambo na minei, amashumi ayisikhombisa nane
 seventy-five, amashumi asixhenxe anesihlanu, makumi asanu ndi awiri mphambu zisanu, nsanvu mu ttaano, ntuku nsambo na mitano, amashumi ayisikhombisa nanhlanu
 seventy-six, amashumi asixhenxe anesithandathu, makumi asanu ndi awiri mphambu zisanu , nsanvu mu mukaaga, ntuku nsambo na motoba, amashumi ayisikhombisa nesithupha
 seventy-seven, amashumi asixhenxe anesixhenxe, makumi asanu ndi awiri mphambu zisanu ndi ziwiri, nsanvu mu musanvu, ntuku nsambo na nsambo, amashumi ayisikhombisa nesikhombisa
 seventy-eight, amashumi asixhenxe anesibhozo, makumi asanu ndi awiri mphambu zisanu ndi zitatu , nsanvu mu munaana, ntuku nsambo na mwambe, amashumi ayisikhombisa nesishiyagalombili
 seventy-nine, amashumi asixhenxe anesithoba, makumi asanu ndi awiri mphambu zisanu ndi zinayi, nsanvu mu mwenda, ntuku nsambo na libwa, amashumi ayisikhombisa nesishiyagalolunye
 eighty, amashumi asibhozo, makumi asanu , kinaana, ntuku mwambe, amashumi ayisishiyagalombili
 eighty-one, amashumi asibhozo ananye, makumi asanu ndi atatu ndi chimodzi, kinaana mu gumu, ntuku mwambe na moko, amashumi ayisishiyagalombili nanye
 eighty-two, amashumi asibhozo anesibini, makumi asanu ndi atatu mphambu ziwiri, kinaana mu bibiri, ntuku mwambe na mibale, amashumi ayisishiyagalombili nambili
 eighty-three, amashumi asibhozo anesithathu, makumi atatu ndi atatu, kinaana mu ssatu, ntuku mwambe na misato, amashumi ayisishiyagalombili nantathu
 eighty-four, amashumi asibhozo anesine, makumi asanu ndi atatu mphambu anayi, kinaana mu bina, ntuku mwambe na minei, amashumi ayisishiyagalombili nane
 eighty-five, amashumi asibhozo anesihlanu, makumi asanu ndi atatu mphambu zisanu, kinaana mu ttaano, ntuku mwambe na mitano, amashumi ayisishiyagalombili nanhlanu
 eighty-six, amashumi asibhozo anesithandathu, makumi asanu ndi atatu mphambu zisanu , kinaana mu mukaaga, ntuku mwambe na motoba, amashumi ayisishiyagalombili nesithupha
 eighty-seven, amashumi asibhozo anesixhenxe, makumi asanu ndi atatu mphambu zisanu ndi ziwiri, kinaana mu musanvu, ntuku mwambe na sambo, amashumi ayisishiyagalombili nesikhombisa
 eighty-eight, amashumi asibhozo anesibhozo, makumi asanu ndi atatu mphambu zisanu ndi zitatu, kinaana mu munaana, ntuku mwambe na mwambe, amashumi ayisishiyagalombili nesishiyagalombili
 eighty-nine, amashumi asibhozo anesithoba, makumi asanu ndi atatu mphambu zisanu ndi zinayi, kinaana mu mwenda, ntuku mwambe na libwa, amashumi ayisishiyagalombili nesishiyagalolunye
 ninety, amashumi alithoba, makumi asanu , mwenda, ntuku libwa, amashumi ayisishiyagalolunye
 ninety-one, amashumi alithoba ananye, makumi asanu ndi anayi mphambu chimodzi, mwenda mu gumu, ntuku libwa na moko, amashumi ayisishiyagalolunye nanye
 ninety-two, amashumi alithoba anesibini, makumi asanu ndi anayi mphambu ziwiri, kyenda mu bibiri, ntuku libwa na mibale, amashumi ayisishiyagalolunye nambili
 ninety-three, amashumi alithoba anesithathu, makumi asanu ndi anayi mphambu zitatu, kyenda mu ssatu, ntuku libwa na misato, amashumi ayisishiyagalolunye nantathu
 ninety-four, amashumi alithoba anesine, makumi asanu ndi anayi mphambu anayi, kyenda mu bina, ntuku libwa na minei, amashumi ayisishiyagalolunye nane
 ninety-five, amashumi alithoba anesihlanu, makumi asanu ndi anayi mphambu zisanu, kyenda mu ttaano, ntuku libwa na mitano, amashumi ayisishiyagalolunye nanhlanu
 ninety-six, amashumi alithoba anesithandathu, makumi asanu ndi anayi mphambu zisanu ndi chimodzi, kyenda mu mukaaga, ntuku libwa na motoba, amashumi ayisishiyagalolunye nesithupha
 ninety-seven, amashumi alithoba anesixhenxe, makumi asanu ndi anayi mphambu zisanu ndi ziwiri , kyenda mu musanvu, ntuku libwa na sambo, amashumi ayisishiyagalolunye nesikhombisa
 ninety-eight, amashumi alithoba anesibhozo, makumi asanu ndi anayi mphambu zisanu ndi zitatu , mwenda mu munaana, ntuku libwa na mwambe, amashumi ayisishiyagalolunye nesishiyagalombili
 ninety-nine, amashumi amane nane, makumi asanu ndi anayi mphambu zisanu ndi zinayi, mwenda mu mwenda, ntuku libwa na libwa, amashumi ayisishiyagalolunye nesishiyagalolunye
